slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
mercury-testnet-enterprise-indexer,Mercury,,"[""[Buy](https://docs.mercurydata.app/genaral-info/pricing)""]","ZephyrVM, Rust Soroban SDK",Enterprise,Archive,Indexed Data,Soroban,testnet,Custom,,FALSE,FALSE,"[""GraphQL""]","[""Custom limits""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom dashboards""]","[""Global""]","[""Custom Indexing"",""Real-time Data"",""Dashboards""]",,,,,,,,,
mercury-testnet-free-indexer,Mercury,,"[""[Docs](https://docs.mercurydata.app/)""]","ZephyrVM, Rust Soroban SDK",Free,Archive,Indexed Data,Soroban,testnet,$0(14 days trial period),$0,FALSE,FALSE,"[""GraphQL""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom dashboards""]","[""Global""]","[""Custom Indexing"",""Real-time Data"",""Dashboards""]",,,,,,,,,
mercury-testnet-pay-as-you-go-indexer,Mercury,,"[""[Buy](https://docs.mercurydata.app/genaral-info/pricing)""]","ZephyrVM, Rust Soroban SDK",Pay-as-you-go,Archive,Indexed Data,Soroban,testnet,$79/mo,,FALSE,FALSE,"[""GraphQL""]","[""Custom limits""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom dashboards""]","[""Global""]","[""Custom Indexing"",""Real-time Data"",""Dashboards""]",,,,,,,,,
nownodes-mainnet-business-recent-state,,!offer:nownodes-business-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/stellar-xlm)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-dedicated-recent-state,,!offer:nownodes-dedicated-recent-state,"[""[Website](https://nownodes.io/nodes/stellar-xlm)"",""[Docs](https://nownodes.gitbook.io/xlm-stellar/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-enterprise-recent-state,,!offer:nownodes-enterprise-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/stellar-xlm)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-free-recent-state,,!offer:nownodes-free-recent-state,"[""[Website](https://nownodes.io/nodes/stellar-xlm)"",""[Docs](https://nownodes.io/nodes/stellar-xlm)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-pro-recent-state,,!offer:nownodes-pro-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/stellar-xlm)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
onfinality-mainnet-accelerate-full-archive,,!offer:onfinality-accelerate-full-archive,"[""[Buy](https://onfinality.io/en/pricing)"",""[Docs](https://onfinality.io/en/networks/stellar)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
onfinality-mainnet-developer-full-archive,,!offer:onfinality-developer-full-archive,"[""[Website](https://onfinality.io/en/networks/stellar)"",""[Docs](https://onfinality.io/en/networks/stellar)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
onfinality-mainnet-growth-full-archive,,!offer:onfinality-growth-full-archive,"[""[Buy](https://onfinality.io/en/pricing)"",""[Docs](https://onfinality.io/en/networks/stellar)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
subquery-mainnet-pay-as-you-go-indexer,,!offer:subquery-pay-as-you-go-indexer,"[""[Buy](https://subquery.network/doc/subquery_network/node_operators/rewards.html#pricing-strategy)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/stellar.html#stellar-soroban-combined-quick-start)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thegraph-mainnet-free-indexer,,!offer:thegraph-free-indexer,"[""[Website](https://thegraph.com/subgraphs/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/stellar/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thegraph-mainnet-pay-as-you-go-indexer,,!offer:thegraph-pay-as-you-go-indexer,"[""[Buy](https://thegraph.com/studio-pricing/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/stellar/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
